book_id,author,title,pubplace,publisher,date,volume,page,image_index,flickr_link
001216409,"FENTON, Elijah.","An epistle to Mr Southerne [on the fate of the tragic muse in England] ... from Kent, Jan. 28. 1711/10",London,,1711,0,000009,1,http://farm8.staticflickr.com/7438/10997806176_a6a59aba79_o.jpg
001216409,"FENTON, Elijah.","An epistle to Mr Southerne [on the fate of the tragic muse in England] ... from Kent, Jan. 28. 1711/10",London,,1711,0,000009,2,http://farm6.staticflickr.com/5537/10997806376_37f01d88e7_o.jpg
004001108,"YOUNG, Edward the Poet",An Epistle [in verse] to ... Lord Lansdown,London,,1713,0,000003,1,http://farm8.staticflickr.com/7348/10997764415_3750b8eb36_o.jpg
002957662,"Pope, Alexander",Windsor Forest. To the Right Honourable George Lord Lansdown,London,B. Lintott,1713,0,000003,1,http://farm3.staticflickr.com/2866/10997925314_1d145f7f59_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000037,1,http://farm4.staticflickr.com/3746/11219115083_824af483d0_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000098,1,http://farm4.staticflickr.com/3786/11218998055_f71afc586c_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000182,1,http://farm6.staticflickr.com/5505/11218997854_987b016fbe_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000238,1,http://farm6.staticflickr.com/5547/11219112853_7dc47ea4c8_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,01,000014,1,http://farm4.staticflickr.com/3669/11219112023_d508fa47a9_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000300,1,http://farm6.staticflickr.com/5499/11219010636_72c23f0944_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,01,000012,1,http://farm6.staticflickr.com/5521/10997402684_47ebeebd3b_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000005,1,http://farm3.staticflickr.com/2816/10997457263_4c9f92e4c2_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000301,1,http://farm8.staticflickr.com/7361/10997453013_a428bc1df2_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000008,1,http://farm8.staticflickr.com/7292/10997453173_93f517aca3_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000004,1,http://farm3.staticflickr.com/2843/10997395744_9724df288c_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000238,2,http://farm4.staticflickr.com/3666/10997923125_bb5725659d_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000013,1,http://farm4.staticflickr.com/3794/10998008726_a84747d93a_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000195,1,http://farm6.staticflickr.com/5547/10998008336_abf416af3a_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000114,1,http://farm8.staticflickr.com/7359/10998140593_3562703743_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000021,1,http://farm8.staticflickr.com/7293/10997921385_ce403027eb_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000313,1,http://farm6.staticflickr.com/5536/10998006706_70785541f6_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000204,2,http://farm8.staticflickr.com/7352/10997920865_8a683a079e_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000224,1,http://farm8.staticflickr.com/7346/10998005566_9e2989b3b0_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000281,1,http://farm6.staticflickr.com/5531/10998082384_007cb7d4a1_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000065,1,http://farm6.staticflickr.com/5501/10998081924_d066977db4_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000268,1,http://farm8.staticflickr.com/7412/10997919325_8ac7d6e1e6_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000199,1,http://farm6.staticflickr.com/5532/10997919195_450d7a49c3_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000209,1,http://farm4.staticflickr.com/3787/10997918675_a631ceacae_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000081,1,http://farm3.staticflickr.com/2819/10997918315_1762610513_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000207,1,http://farm3.staticflickr.com/2854/10998003556_cea257dfeb_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000189,1,http://farm8.staticflickr.com/7364/10998136523_4359cab1b5_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000165,1,http://farm3.staticflickr.com/2823/10998078744_35152486a8_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000070,1,http://farm6.staticflickr.com/5499/10998002746_5e1450a529_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000222,1,http://farm4.staticflickr.com/3694/10998135153_ae42a803b5_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000081,1,http://farm6.staticflickr.com/5539/10998001726_623b6a169d_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000142,1,http://farm4.staticflickr.com/3668/10998134783_9004c1ec7d_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000059,1,http://farm6.staticflickr.com/5487/10998134033_ec42d18702_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000159,1,http://farm6.staticflickr.com/5538/10998000956_c5a9439736_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000182,1,http://farm4.staticflickr.com/3831/10997914305_7f513b6911_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000123,1,http://farm6.staticflickr.com/5486/10998076444_f6cc1eec03_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000158,1,http://farm4.staticflickr.com/3695/10997998856_c1ef71a96f_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000014,1,http://farm6.staticflickr.com/5543/10997999296_bb918c45c8_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000183,2,http://farm4.staticflickr.com/3719/10997999036_08543b03fb_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000044,2,http://farm8.staticflickr.com/7310/10998075424_b807764595_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000142,2,http://farm8.staticflickr.com/7307/10997998366_bca433b975_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000013,1,http://farm4.staticflickr.com/3697/10997998096_f49e7008a5_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000203,1,http://farm8.staticflickr.com/7377/10997912295_53fa07deb2_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000210,2,http://farm6.staticflickr.com/5541/10997912135_227f7dd029_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000207,2,http://farm3.staticflickr.com/2843/10997997616_9672a522ba_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000149,2,http://farm3.staticflickr.com/2822/10997911775_42220cd553_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000203,1,http://farm6.staticflickr.com/5475/10998073654_b0126c5db9_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000351,2,http://farm4.staticflickr.com/3757/10997910745_9e3333495c_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000206,2,http://farm8.staticflickr.com/7456/10997996876_7ee40216f1_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000099,1,http://farm6.staticflickr.com/5485/10997996446_2ec9a99b76_o.jpg
001216427,"FENTON, Elijah.",Poems on several occasions,London,,1717,0,000032,1,http://farm8.staticflickr.com/7394/10998072734_a97f2979f5_o.jpg
002957043,"Pope, Alexander",[The Works of Mr. Alexander Pope. 2 vol. (Vol. 2: Essay on Man.-Epistles to several persons.-Satires of Horace.-Satires of Dr John Donne.-Epitaphs.-The Dunciad.)],London,Printed by W. Bowyer for J. Tonson and B. Lintot,1717,02,000154,1,http://farm8.staticflickr.com/7365/10997995666_71718daa9d_o.jpg
