"ESTC_Number","Author","Author_dates","Title","Edition","Publication_City","Imprint","Imprint_Date","Regularized_Year","Pagination","Illustrations","Format","Citations"
"N10081","Holland, Richard,","1688-1730.","Observations on the small pox: or, An essay to discover a more effectual method of cure.",NULL,"London :","printed for John Brindley, Bookbinder to the Majesty, at the King's Arms in New-Bond-Street,",1728.,1728,"[8],xix,[1],76,79-164[i.e.162]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1365"
"N101","Hasledine, William,","1713 or 14-1773.","The beau and the academick.",NULL,"London :","printed for J. Roberts,","[1733]",1733,"[4],12p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1975"
"N10280","Spinckes, Nathaniel,","1654-1727.","The new pretenders to prophecy re-examined:",NULL,"London :","printed for Richard Sare, at Grays-Inn-Gate in Holbourn,",1710.,1710,"xvi,56p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 24"
"N10355","Wotton, William,","1666-1727.","The omniscience of the Son of God,",NULL,"London :","printed by W. Bowyer for Tim. Goodwin, at the Queen's Head against St. Dunstans Church in Fleet-Street,",1720.,1720,"[6],54,[2]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 635"
"N10689",NULL,NULL,"A new scheme for reducing the laws relating to the poor into one act of Parliament,",NULL,"London :","printed for T. Cooper at the Globe in Pater-noster-row,","MDCCXXXVI [1736].",1736,"vi,26p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2304"
"N1088","Fracastoro, Girolamo,","1478-1553.","Hieronymi Fracastorii syphilis,",NULL,"Londini :","apud Jonam Bowyer,",1720.,1720,"[8],69,[1]p.,plate :","port. ;","4⁰.","Maslen & Lancaster. Bowyer ledgers, 719"
"N11585","Mangey, Thomas,","1688-1755.","Plain notions of our Lord's divinity.",NULL,"London :","printed for W. and J. Innys, at the Prince's Arms at the West End of St. Paul's Church-Yard,","MDCCXIX. [1719]",1719,"35,[1]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 514"
"N11599","Mangey, Thomas,","1688-1755.","Plain notions of our Lord's divinity:","The third edition.","London :","printed for W. and J. Innys,",1719.,1719,"35,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 525"
"N11744","Mangey, Thomas,","1688-1755.","Plain notions of our Lord's divinity.",NULL,"London :","printed for W. and J. Innys, at the Prince's Arms at the West End of St. Paul's Church-Yard,","MDCCXIX. [1719]",1719,"35,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 514"
"N1230","Fleury, Claude,","1640-1723.","The ecclesiastical history",NULL,"London :","printed by T. Wood, for James Crokatt, at the Golden Key, near the Inner-Temple Gate in Fleet-Street,","MDCCXXVII. [1727]-1732.",NULL,"5v. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1353"
"N12579","Royal Society (Great Britain)",NULL,"The philosophical transactions and collections,","The third edition.","London :","printed for J. Knapton, R. Knaplock, R. Wilkin, J. and B. Sprint, D. Midwinter, W. Taylor, W. and J. Innys, R. Robbinson, and J. Osborn,","M.D.CC.XXII. [1722]",1722,"3v.,plates ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 837"
"N12721","Swift, Jonathan,","1667-1745.","Miscellanies, the the [sic] fifth and sixth volumes.","The third edition corrected: with several addition","London :","printed for T. Woodward, at the Half-Moon between the Temple Gates; and C. Davis against Grays-Inn Gate, Holborn,","MDCCXLII. [1742]",1742,"2v. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 3053"
"N12727","Swift, Jonathan,","1667-1745.","Miscellanies.","The second edition.","London :","printed for C. Davis, against Grays-Inn Gate, Holborn; and C. Bathurst, opposite St. Dunstan's Church, Fleetstreet,","MDCCXLII. [1742]",1742,"[4],326p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 3068"
"N12728","Swift, Jonathan,","1667-1745.","Miscellanies.","The second edition.","London :","printed for C. Davis against Greys-Inn-Gate, Holborn. and C. Bathurst,","MDCCXLII [1742]",1742,"[4],256,247-310p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 3068"
"N12957","Wicquefort, Abraham de,","1606-1682.","The rights, privileges, and office of embassadors and publick ministers.","The second edition.","London :","printed for Charles Davis, in Pater-Noster-Row,","MDCCXL. [1740]",1740,"[8],570,[28]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 2786"
"N12960","Richardson, William,","1698-1775.","Relative holiness.",NULL,"London :","printed for W. Hinchliffe, under the Royal Exchange in Cornhill,",1733.,1733,"[2],22p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1957"
"N13022","Private Gentleman.","","Reflections on the principal characters in a late comedy call'd The provok'd husband.",NULL,"London :","printed for J. Roberts, at the Oxford-Arms in Warwick-Lane,","MDCCXXVIII. [1728]",1728,"32p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1349"
"N13062","Salmon, N.","1675-1742.","Roman stations in Britain,",NULL,"London :","printed for J. Roberts at the Oxford-Arms in Warwick-Lane,",1726.,1726,"[8],64p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1187"
"N13629","Castleton, Nathaniel.","","To the Right Honourable the Lord Harley, on the promotion of his father to the nobility.",NULL,"London :","printed for Richard Sare,",1711.,1711,"3,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 89"
"N1382","Banks, John,","d. 1706.","The Albion queens:",NULL,"London :","printed for W. Feales; A. Bettesworth; F. Clay, R. Wellington, and C. Corbett; and J. Brindley,",1735.,1735,"79,[1]p. :","ill. ;","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2147"
"N144","Member of the States-General in Holland.","","A letter from a member of the States-General in Holland",NULL,"London :","printed for J. Robinson in Ludgatestreet",1743.,1743,"[4],52p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 3096"
"N14474","Jacob, Hildebrand,","1693-1739.","The unequal match:","The second edition.","London :","printed for W. Lewis, in Great-Russel-Street, Covent-Garden,","MDCCXXXVII. [1737]",1737,"7,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 2358"
"N14578","Dufresnoy, Charles-Alphonse,","1611-1668.","The art of painting:","The second edition, corrected, and enlarg'd.","London :","printed for Bernard Lintott, between the Temple Gates, in Fleetstreet,",1716.,1716,"[16],lxviii,[4],397,[7]p.,plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 286 (issue A)"
"N14579","Dufresnoy, Charles-Alphonse,","1611-1668.","The art of painting:","The second edition, corrected, and enlarg'd.","London :","printed for B. L. [i.e. Bernard Lintott] and sold by William Taylor, at the Ship in Pater-noster-row,",1716.,1716,"[16],lxviii,[4],397,[7]p.,plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 286 (issue B)"
"N1467","Jacob, Hildebrand,","1693-1739.","An epistle to a person of quality.",NULL,"London :","printed for J. Roberts at the Oxford Arms in Warwick Lane,","MDCCXXXV. [1735]",1735,"10p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 2153"
"N14874","Whiston, John,","1711-1780.","A catalogue of valuable manuscripts in Greek, Latin, English, French, Italian, and Spanish;",NULL,"[London :","s.n.,","1739]",1739,"[4],26,[2]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2650"
"N15232","Chishull, Edmund,","1671-1733.","Antiquitates Asiaticæ Christianam æram antecedentes;",NULL,"Londini :","typis Guil. Bowyer,","1728-[31?]",NULL,"[12],207,[1],8;[2],12p.,plates :","ill. ;","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1335-1336"
"N15305","Centlivre, Susanna,","1667?-1723.","The busie body.","The third edition.","London :","printed for Bernard Lintott,",1714.,1714,"82,[2]p. :","ill. ;","12⁰.","Maslen & Lancaster. Bowyer ledgers, 229"
"N15510","Church of England.",NULL,"The bishop of London's pastoral letter to the people of his diocese; particularly, to those of the two great cities of London and Westminster. Occasion'd by some late writings in favour of infidelity.","The third edition.","London :","printed for Sam. Buckley, in Amen-Corner,",1728.,1728,"[2],54p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1398"
"N15511","Church of England.",NULL,"The bishop of London's pastoral letter to the people of his diocese; particularly, to those of the two great cities of London and Westminster. Occasion'd by some late writings in favour of infidelity.","The third edition.","London :","printed for Sam. Buckley, in Amen-Corner,",1728.,1728,"56p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1398"
"N15513","Church of England.",NULL,"The bishop of London's pastoral letter to the people of his diocese; particularly, to those of the two great cities of London and Westminster. Occasion'd by some late writings in favour of infidelity.","The fourth edition.","London :","printed for Sam. Buckley, in Amen-Corner,",1729.,1729,"[2],54p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1407"
"N15633","Jacob, Hildebrand,","1693-1739.","Brutus the Trojan;",NULL,"London :","printed for William Lewis in Russel-Street, Covent-Garden,","MDCCXXXV. [1735]",1735,"[14],113,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2206"
"N16212","Aesop.","","Æsopi Phrygis fabulæ,",NULL,"Londini :","execudebat Stephanus Gilbert, pro Societate Stationariorum,",1716.,1716,"[16],176p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 336"
"N17078","Butler, Samuel,","1612-1680.","Hudibras.",NULL,"London :","printed for D. Midwinter and A. Ward, J. Walthoe, J. and J. Knapton, R. Knaplock, B. Sprint, J. Tonson, J. Osborne and T. Longman, A. Bettesworth and C. Hitch, R. Robinson, W. Mears, W. Innys, T. Woodward, F. Clay, D. Browne and J. Poulson,",1732.,1732,"[2],214,197-400,[24]p.,plates :","port. ;","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1872"
"N1722","Castleton, Nathaniel.","","To the Right Honourable Mr. Harley.",NULL,"[London :","printed for Richard Sare,","1711]",1711,"3,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 74"
"N17656","Synge, Edward,","1659-1741.","A help to the devout performance of private prayer.","The second edition corrected.","London :","printed for Thomas Trye, near Gray's Inn Gate in Holbourn,","MDCCXL. [1740]",1740,"12p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 2804"
"N17867","La Mottraye, Aubry de,","1674?-1743.","Historical and critical remarks on the History of Charles XII. King of Sweden, by Mr. de Voltaire, design'd as a supplement to that work. In a letter to the author, by Mr. de La Motraye. Translated from the French.","The second edition.","London :","printed for T. Warner, at the Black Boy in Pater-Noster-Row,","MDCCXXXII. [1732]",1732,"96p.,plate :","port. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1808"
"N18078","Anton, Pasqual Joseph.","","Grammatica Española,",NULL,"London :","printed for Daniel Browne, at the Black Swan and Bible without Temple-Bar, and Thomas Ward in the Inner-Temple Lane,",1711.,1711,"[8],192,[8]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 75"
"N18133","Grey, Richard,","1694-1771.","The great tribunal.",NULL,"London :","printed for C. King; J. Batley; J. Fowler bookseller in Northampton; and J. Wilmot of Oxford,",1732.,1732,"29,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1852"
"N18163",NULL,NULL,"A genuine epistle written some time since to the late famous Mother Lodge.",NULL,"London :","printed for J. Roberts at the Oxford Arms in Warwick-Lane for the use of her creditors ,","MDCCXXXV. [1735]",1735,"12p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 2157"
"N18440","Nelson, Robert,","1656-1715.","Instructions for them that come to be confirmed,","The eleventh edition.","London :","printed by W. Bowyer, for J. Walthoe, R. Wilkin, J. and J. Bonwicke, S. Birt, T. Osborn, and E. Wicksteed,",1737.,1737,"24p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2405"
"N18587","Arnall, William,","1699 or 1700-1736.","The free Briton.",NULL,"London :","printed for J. Peele at Locke's Head in Amen-Corner, Paternoster-Row,","MDCCXXX. [1730]",1730,"36p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1604"
