"ESTC_Number","Author","Author_dates","Title","Edition","Publication_City","Imprint","Imprint_Date","Regularized_Year","Pagination","Illustrations","Format"
"N10407",NULL,NULL,"Laws relating to the poor,",NULL,"[London] :","In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street,","MDCCXLIII. [1743]",1743,"[32],284,[20]p. ;","","8⁰."
"N12469","Townesend, George.","","A preparative to pleading.","The third edition.","[London] :","In the Savoy: printed by Eliz. Nutt and R. Gosling (assigns of Edward Sayer, Esq,) for D. Browne, W. Mears, R. Gosling, T. Woodward, F. Clay, J. Peel and J. Stevens,","MDCCXXI. [1721]",1721,"[18],369,398-512p. ;","","8⁰."
"N12721","Swift, Jonathan,","1667-1745.","Miscellanies, the the [sic] fifth and sixth volumes.","The third edition corrected: with several addition","London :","printed for T. Woodward, at the Half-Moon between the Temple Gates; and C. Davis against Grays-Inn Gate, Holborn,","MDCCXLII. [1742]",1742,"2v. ;","","8⁰."
"N12826","Coke, Edward,","1552-1634.","The reports of Sir Edward Coke",NULL,"[London] :","In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer Esq;) for D. Browne, J. Walthoe, B. Lintot, R. Gosling, W. Mears, T. Ward, W. Innys, J. Osborn, T. Woodward, F. Clay, T. Wotton, K. Williamson and A. Ward,","M.DCC.XXVII. [1727]",1727,"13 parts ;","","8⁰."
"N12827","Coke, Edward,","1552-1634.","The reports of Sir Edward Coke",NULL,"[London] :","In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer Esq;) for R. Gosling, W. Mears, W. Innys and R. Manby, T. Woodward, F. Clay, [and 8 others in London],",1738.,1738,"13 parts ;","","8⁰."
"N12838","Kelyng, John,","d. 1671.","A report of divers cases in pleas of the Crown,","The second edition.","[London] :","In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for T. Woodward at the Half-Moon in Fleet-Street, J. Stagg in Westminster-Hall, and D. Brown at the Black Swan without Temple-Bar,","MDCCXXXIX. [1739]",1739,"[6],138,[14]p. ;","","2⁰."
"N13463","Theobald,","1688-1744.","The rape of Proserpine:","The third edition.","London :","printed and sold by T. Wood in Little-Britain, and at the Theatre Royal in Lincoln's-Inn-Fields,","MDCCXXVII. [1727]",1727,"[2],vii,[1],17,[1]p. ;","","4⁰."
"N13464","Theobald,","1688-1744.","The rape of Proserpine:",NULL,"London :","printed and sold by T. Wood in Little-Britain, and at the Theatre Royal in Lincoln's-Inn-Fields ,","MDCCXXVII. [1727]",1727,"[2],vii,[1],17,[1]p. ;","","4⁰."
"N13977","Jacob, Giles,","1686-1744.","A treatise of laws:",NULL,"London :","printed for T. Woodward, at the Half Moon against St. Dunstan's Church in Fleet-Street; and J. Peele, at Locke's-Head, in Pater-Noster-Row,","MDCCXXI. [1721]",1721,"[2],vi,[6],533,[15]p. ;","","8⁰."
"N14306","Stuart, Alexander,","1673-1742.","Three lectures on muscular motion,",NULL,"London :","printed for T. Woodward, at the Half-Moon, between the Temple-Gates in Fleetstreet; and C. Davis, in Paternoster-Row; Printers to the Royal Society,",1739.,1739,"[4],X,LIV,[2]p.,3 plates ;","","8⁰."
"N14780","Gay, John,","1685-1732.","Acis and Galatea,",NULL,"London :","printed for T. Wood, and are to be sold at the King's Theatre in the Hay-Market,",1732.,1732,"31,[1]p. ;","","8⁰."
"N15400",NULL,NULL,"A catalogue of the library of Thomas Selden, Esq; deceas'd, consisting of many very valuable and uncommon books ... which will begin to be sold ... on Tuesday the 22d of this instant June, ...",NULL,"[London :","printed for Jonas Brown at the Black Swan without Temple bar, and T. Woodward next the Inner-Temple-gate in Fleetstreet,","1717]",1717,"15,[1]p. ;","","8⁰."
"N15520","Calmet, Augustin,","1672-1757.","Antiquities sacred and profane: or, a collection of critical dissertations on the Old and New Testament. ... Written in French by P. Calmet, ... Done into English, with additional notes, by N. Tindal, ... Illustrated with copper-plates.",NULL,"London :","printed for J. Roberts; and sold by J. Knapton, and W. and J. Innys; J. Pemberton, and T. Woodward; S. Wilmot, and W. Wells at Oxford; C. Crownfield, at Cambridge,",1727.,1727,"vii,[1],97,[3],149,158-183,[1],328p. ;","","4⁰."
"N16819","Nicolson, William,","1655-1727.","The Irish historical library:",NULL,"London :","printed for G. Strahan; W. Mears; T. Woodward; F. Clay, and D. Browne; C. Davis; and T. Osborne,",1736.,1736,"xvi,118p. ;","","2⁰."
"N16963","Bohun, William.","","Institutio legalis:",NULL,"[London] :","In the Savoy: printed by E. and R. Nutt, and R. Gosling (assigns of Edw. Sayer Esq;) for J. Walthoe, B. Lintot, W. Mears, T. Woodward and S. Tooke,",1724.,1724,"xv,[1],572,[20]p. ;","","8⁰."
"N17078","Butler, Samuel,","1612-1680.","Hudibras.",NULL,"London :","printed for D. Midwinter and A. Ward, J. Walthoe, J. and J. Knapton, R. Knaplock, B. Sprint, J. Tonson, J. Osborne and T. Longman, A. Bettesworth and C. Hitch, R. Robinson, W. Mears, W. Innys, T. Woodward, F. Clay, D. Browne and J. Poulson,",1732.,1732,"[2],214,197-400,[24]p.,plates :","port. ;","12⁰."
"N17461","Kettlewell, John,","1653-1695.","An help and exhortation to worthy communicating:","The seventh edition.","London :","printed for H. Banks; and T. Woodward,",1713.,1713,"[24],328p. :","port. ;","8⁰."
"N17759","Hale, Matthew,","1609-1676.","Historia placitorum coron?.",NULL,"[London] :","In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for F. Gyles over-against Grays-Inn in Holborn, T. Woodward at the Half-Moon between the Two Temple-Gates in Fleet-Street, and C. Davis in Pater-Noster-Row,","MDCCXXXVI. [1736]",1736,"2v.,plate :","port. ;","2⁰."
"N19368","Terence.","","P. Terentii carthaginensis Afri Comoedi? sex.",NULL,"Londini :","typis T. Wood; impensis R. Knaplock, J. & J. Knapton, D. Midwinter & A. Ward, A. Bettesworth & C. Hitch, F. Fayram, J. Pemberton, B. Sprint, W. Innys, C. Rivington, J. Osborn & T. Longman, R. Robinson, B. Motte, F. Clay, J. Batley, & R. Hett,","MDCCXXXI. [1731]",1731,"[6],cxxxviii,288,[80]p. ;","","8⁰."
"N19369","Terence.","","P. Terentii Carthaginensis Afri Comoediæ sex.",NULL,"Londini :","typis T. Wood; impensis Benj. Mottte [sic],",1731.,1731,"[6],cxxxviii,288,[80]p. ;","","8⁰."
"N19370","Terence.","","P. Terentii carthaginensis Afri Comoedi? sex.",NULL,"Londini :","typis T. Wood; impensis Caroli Bathurst, ad Medii Templi Portam in Fleet Street,","MDCCXL. [1740]",1740,"[6],cxxxviii,288,[80]p. ;","","8⁰."
"N19465",NULL,NULL,"A paraphrase and commentary on the New Testament.","The fourth edition.","London :","printed by T. Wood and T. Sharpe, for William Churchill,",1718.,1718,"2v.,plate ;","","2⁰."
"N20204","Bohun, William.","","Privilegia Londini:",NULL,"London :","printed for D. Browne, W. Mears, R. Gosling, T. Woodward, J. Hooke, F. Clay, and J. Stephens,",1723.,1723,"xvi,498,[22]p. ;","","8⁰."
